 label Gender(0=Male;1=Female;) Gender_ID(0=Male;1=Female;2=Other;) Greek(0=No;1=Yes;) Home_Town(0=Small_Town;1=Medium_City;2=Big_City_Subrub;3=Big_City;) In_State(0=No;1=Yes;) Ethnicity(0=White;1=Black;2=Hispanic;3=East_Asian;4=South_Asian;5=Other;) Religion(0=Christian;1=Jewish;2=Muslim;3=Hindu;4=Buddhist;5=Religious_but_not_one_of_the_above;6=Agnostic;7=Atheist;) Religious like_Math Calculus(0=No;1=Yes;) ACT GPA Party_Hours_per_week Drinks_per_week Sex_Partners Relationships Call_Parents Cell_Phone(0=Android;1=iPhone;2=Other;) Social_Media(10=V10_or_more;) Texts Good_or_Well Expected_Income President(1=Donald_Trump;2=Hillary_Clinton;3=Jill_Stein;4=Gary_Johnson;5=Not_eligible_to_vote;6=Chose_not_to_vote;) Illinois_Commitment Family_Income Liberal Political_Party(0=Democratic;1=Republican;2=Independent;3=Green;4=Libertarian;5=Other;) Grade_vs_Learning Parent_Relationship Work_Hours Tuition Career Section(1=L1;2=KF;3=ONL;) 
Obs135 135 0 0 0 2 1 0 0 6 5 0 22 2.8 10 0 1 1 0 1 2 2 10 100 5 0 60 7 1 0 10 0 0 5 1 
Obs136 136 1 1 0 2 1 4 2 6 6 1 26 3.3 0 0 0 0 22 1 4 3 5 200 5 10 20 7 0 7 8 0 100 9 1 
Obs137 137 1 1 1 2 1 0 1 3 2 1 22 3 6 3 5 0 6 1 4 4 5 300 5 7 500 7 1 5 8 0 0 5 1 
Obs138 138 1 1 0 2 1 4 2 2 2 1 25 3 2 4 0 0 2 1 2 2 5 400 5 10 90 2 0 2 7 0 90 10 1 
Obs139 139 1 1 0 1 1 0 0 4 3 0 25 3.5 3 1 0 0 7 1 6 3 5 1000 5 5 260 7 1 5 7 0 100 8 1 
Obs140 140 1 1 0 0 1 0 0 10 9 1 34 4 0 0 0 0 1 1 2 5 5 100 5 4 120 9 1 3 9 10 80 2 1 
Obs141 141 1 1 0 2 1 2 0 8 5 0 26 3.7 12 15 1 3 20 1 6 7 0 100 5 10 150 4 0 5 10 0 80 7 1 
Obs142 142 1 1 0 2 1 0 0 5 8 1 26 4 3 20 1 1 5 1 3 2 0 100 1 0 200 5 1 3 9 0 90 10 1 
Obs143 143 0 0 0 1 1 0 0 10 7 1 26 3.6 0 0 0 1 2 0 3 5 4 75 1 4 85 8 1 8 9 0 60 5 1 
Obs144 144 1 1 0 3 1 5 0 1 5 1 22 3.3 1 2 2 3 5 1 5 10 4 80 6 1 90 5 0 2 4 0 100 1 1 
Obs145 145 0 0 0 0 1 0 0 3 3 0 24 3.2 10 10 0 1 1 1 4 3 8 120 1 10 35 10 1 4 6 45 0 8 1 
Obs146 146 1 1 0 1 1 0 1 5 2 0 28 3.7 11 16 3 2 18 1 3 10 8 10000 5 6 90 2 0 4 10 0 100 2 1 
Obs147 147 0 0 1 3 1 0 0 5 1 1 29 2.9 50 30 50 0 9 1 3 5 0 100 5 10 200 5 4 8 10 0 70 9 1 
Obs148 148 0 0 0 2 1 0 2 6 8 1 30 3.8 0 0 0 1 2 1 2 5 6 250 5 3 900 8 1 7 10 0 100 10 1 
Obs149 149 0 0 1 2 1 0 2 8 1 1 31 3.9 0 0 0 0 0 1 3 3 5 200 5 10 50 4 2 5 5 0 0 2 1 
Obs150 150 1 1 0 3 1 0 0 4 3 1 28 3.2 14 6 0 0 3 1 5 4 2 500 5 5 90000 3 0 5 7 0 100 2 1 
Obs151 151 1 1 0 2 1 0 0 2 7 0 24 3.7 5 5 0 0 7 1 6 5 0 90 5 7 110 3 0 6 10 0 10 8 1 
Obs152 152 1 1 0 2 1 5 1 5 0 1 25 3 5 2 2 1 1 1 6 5 5 100 2 8 100 2 2 5 8 20 100 9 1 
Obs153 153 1 1 0 1 1 0 0 8 7 1 28 4 12 11 0 0 6 1 3 6 3 95 5 8 260 4 0 5 8 0 80 8 1 
Obs154 154 1 1 0 2 1 0 5 3 7 1 27 3.5 5 3 0 0 7 1 2 6 5 170 5 5 200 4 4 4 5 0 90 0 1 
Obs155 155 0 0 0 2 1 0 0 6 4 0 25 4 20 15 1 2 7 1 2 8 5 250 5 2 300 3 0 0 8 15 10 3 1 
Obs156 156 0 0 0 3 1 4 2 3 7 1 27 3.1 1 2 5 1 1 1 3 3 10 5000 5 6 100 5 5 9 7 0 90 7 1 
Obs157 157 1 1 0 0 1 5 2 4 1 0 29 4 0 0 0 0 2 1 5 3 0 80 5 10 80 0 0 5 8 0 0 10 1 
Obs158 158 0 0 0 2 1 2 7 6 4 1 21 3.2 0 0 3 3 7 1 7 6 5 10000 2 10 47 1 0 0 10 0 90 0 1 
Obs159 159 1 1 1 3 1 1 5 3 3 0 19 2.9 4 3 4 3 7 1 5 15 5 500 6 3 80 5 0 6 10 10 0 0 1 
Obs160 160 0 0 0 0 1 0 5 4 1 0 23 3.4 5 12 10 1 2 1 4 6 5 100 5 8 200 7 1 2 9 20 20 10 1 
Obs161 161 1 1 0 2 1 0 6 2 1 0 28 3.9 6 6 3 1 4 1 4 8 3 45 5 7 50 3 4 5 7 0 70 5 1 
Obs162 162 1 1 0 2 1 0 0 7 8 1 33 4 12 30 3 1 3 1 4 10 5 100 5 8 130 8 1 3 9 5 90 10 1 
Obs163 163 1 1 0 0 1 0 7 0 1 0 21 2.9 0 2 0 0 2 1 8 1 10 90 2 5 30 5 2 5 7 20 40 10 1 
Obs164 164 1 1 0 2 1 3 0 7 0 1 29 2.5 0 0 1 2 4 0 10 3 5 69 2 10 100 1 5 6 9 0 70 7 1 
Obs165 165 0 0 0 2 1 1 0 2 4 0 28 3.3 6 8 1 2 1 1 2 13 9 999 5 3 300 2 2 6 2 20 30 3 1 
Obs166 166 1 1 0 0 1 0 0 5 5 1 33 3.7 5 5 6 2 7 1 2 5 7 75 1 0 450 10 1 2 8 0 100 0 1 
Obs167 167 1 1 0 1 0 3 5 1 8 1 34 4 15 0 1 3 1 1 2 2 0 60 6 1 55 5 1 5 8 0 100 3 1 
Obs168 168 1 1 0 2 1 0 1 4 2 0 28 3.7 14 20 3 1 14 1 7 8 5 60 5 7 500 0 0 5 10 0 100 9 1 
Obs169 169 0 0 0 3 1 5 6 0 8 1 25 3.4 9 4 5 1 3 1 9 11 10 4000 6 10 40 0 0 10 10 30 10 4 1 
Obs170 170 1 1 1 2 1 0 7 0 7 1 33 4 6 6 4 1 5 1 2 5 7 100 5 10 150 0 0 5 10 5 100 5 1 
Obs171 171 0 0 1 2 1 0 1 3 5 1 28 4 4 15 1 0 5 1 2 10 0 300 5 7 250 7 1 3 9 0 100 8 1 
Obs172 172 0 0 0 0 1 0 0 7 3 0 25 3.5 0 0 1 1 5 1 4 2 6 80 1 3 100 10 1 6 8 10 0 2 1 
Obs173 173 0 0 1 2 1 0 0 2 3 0 30 3 10 33 5 2 1 1 2 4 5 150 6 5 200 1 0 1 10 0 80 4 1 
Obs174 174 1 1 0 3 1 1 5 4 0 1 22 3.1 1 0 0 0 29 1 7 12 9 400 6 3 2 4 5 1 10 0 70 6 1 
Obs175 175 1 1 0 2 1 4 3 2 4 1 33 3.9 2 1 1 3 3 1 5 15 0 200 6 8 210 2 0 7 9 0 90 8 1 
Obs176 176 0 0 0 3 1 1 7 4 7 0 19 3.8 7 7 4 7 2 1 5 5 5 100 5 10 8 5 0 5 8 0 10 10 1 
Obs177 177 1 1 0 2 1 2 0 3 0 1 30 3.3 0 0 1 1 9 1 2 4 10 1000 5 10 52 5 0 5 8 0 100 8 1 
Obs178 178 1 1 0 3 1 2 5 4 5 1 19 3.7 2 0 1 1 6 1 3 6 0 85 5 10 40 1 0 7 8 10 0 5 1 
Obs179 179 1 1 1 0 1 0 0 7 0 0 23 2.7 2 0 5 2 2 1 8 2 0 100 6 10 80 5 1 5 10 0 70 10 1 
Obs180 180 0 0 1 0 1 0 0 4 2 0 29 3.1 4 15 0 1 1 1 2 3 4 95 4 4 110 5 2 6 8 0 50 7 1 
Obs181 181 0 0 0 1 0 3 4 3 5 1 26 4 1 0 0 2 2 1 5 3 7 5000 5 8 200 1 1 7 8 0 100 6 1 
Obs182 182 0 0 0 2 1 0 5 5 1 0 21 3.5 5 6 0 0 6 1 7 6 5 100 5 10 20 3 1 3 8 0 10 8 1 
Obs183 183 1 1 0 2 1 0 1 8 7 1 29 3.8 6 3 0 0 6 1 3 7 5 150 5 5 200 3 0 5 9 0 100 6 1 
Obs184 184 0 0 1 2 1 0 0 2 3 1 28 3.3 5 10 3 0 3 1 3 15 5 900 5 10 400 5 0 10 7 0 100 5 1 
Obs185 185 0 0 0 2 1 0 0 5 3 1 27 3.5 2 2 2 2 5 1 3 5 5 10000 5 8 10000 5 0 5 8 10 100 4 1 
Obs186 186 1 1 0 2 1 4 5 4 6 1 27 3.6 4 2 2 1 1 1 4 30 5 80 2 7 500 4 0 6 7 15 90 6 1 
Obs187 187 1 1 0 3 1 2 0 3 4 0 28 4 4 0 3 1 2 1 5 6 5 75 6 10 30 2 0 5 10 15 0 0 1 
Obs188 188 1 1 0 2 1 0 0 3 6 1 25 3.7 5 5 0 0 10 1 3 4 10 75 1 7 75 5 1 7 10 0 100 10 1 
Obs189 189 1 1 0 2 1 0 0 1 9 1 30 3.8 6 6 0 0 1 1 3 7 0 60 5 10 70 2 0 5 8 15 60 9 1 
Obs190 190 1 1 0 2 1 5 4 7 2 1 24 4 15 4 1 4 10 1 5 25 8 350 2 8 37 1 2 0 4 0 10 7 1 
Obs191 191 1 1 0 2 1 2 0 5 1 0 19 3.5 6 3 0 0 4 1 5 2 4 75 5 8 29 3 0 5 9 20 10 5 1 
Obs192 192 1 1 0 3 1 2 5 3 0 1 22 3.9 19 19 2 1 3 1 7 3 5 700 5 10 45 4 0 5 7 0 0 0 1 
Obs193 193 1 1 0 2 1 0 1 4 3 0 25 3.5 2 1 1 1 5 1 3 5 5 150 5 10 160 2 0 8 7 5 30 8 1 
Obs194 194 0 0 0 2 1 0 0 0 0 1 25 3 6 8 5 3 1 1 2 5 3 100 3 2 100 5 3 3 2 10 30 8 1 
Obs195 195 1 1 0 0 1 0 5 3 5 0 20 3.3 5 3 3 0 0 1 5 5 5 50 5 10 100 1 5 3 7 0 10 10 1 
Obs196 196 1 1 1 2 1 2 0 5 7 1 23 3.7 4 5 0 1 2 0 4 3 7 60 6 7 40 7 0 5 6 0 0 3 1 
Obs197 197 1 1 0 2 1 0 0 7 6 0 30 4 5 4 0 1 7 1 3 6 6 100 5 8 62 3 0 4 9 0 60 10 1 
Obs198 198 1 1 0 2 1 1 0 4 6 1 22 3.7 4 3 0 0 3 1 6 4 8 92 5 10 54 3 0 4 5 0 70 7 1 
Obs199 199 0 0 0 0 1 0 6 5 6 0 25 2.8 6 0 0 1 2 1 3 5 5 70 5 7 100 3 2 8 9 25 60 2 1 
Obs200 200 0 0 1 2 1 0 0 5 2 0 24 3.5 12 30 7 0 7 1 4 5 7 250 5 10 120 5 1 3 8 5 0 5 1 
Obs201 201 0 0 0 3 0 3 7 1 4 1 30 2.3 0 0 0 0 1 1 2 1 7 120 5 0 150 5 0 5 9 0 100 4 1 
Obs202 202 1 1 0 2 1 0 0 8 3 1 26 3.9 0 0 1 1 14 1 8 5 5 76 5 5 150 5 1 4 8 0 50 10 1 
Obs203 203 1 1 0 1 1 0 0 5 6 0 28 3.8 10 6 0 0 1 1 2 4 5 100 5 5 110 4 0 4 6 0 80 7 1 
Obs204 204 1 1 1 1 1 0 0 3 6 0 25 3.5 10 5 1 1 2 1 3 4 5 75 2 10 100 0 4 4 8 10 50 6 1 
Obs205 205 1 1 1 3 1 2 0 4 6 0 24 3 15 30 13 3 4 1 3 9 0 150 5 10 250 2 0 6 10 0 100 7 1 
Obs206 206 1 1 1 2 1 0 0 6 4 1 29 3.8 9 12 0 0 1 1 3 9 7 70 6 5 200 8 1 4 9 0 100 5 1 
Obs207 207 1 1 1 2 1 0 1 7 7 0 20 3 2 0 5 3 9 1 4 6 6 60 5 10 60 3 0 5 10 20 50 9 1 
Obs208 208 1 1 1 2 1 0 7 0 7 1 28 3.6 10 20 4 2 10 1 2 10 0 100 5 10 180 0 0 5 9 0 80 10 1 
Obs209 209 1 1 0 3 1 1 5 4 2 0 22 4 2 0 6 0 7 1 10 4 5 800 5 10 30 3 0 2 7 0 90 1 1 
Obs210 210 1 1 0 2 1 0 0 3 7 1 29 3.9 12 10 2 1 4 1 5 10 5 70 5 10 200 4 0 5 10 0 90 3 1 
Obs211 211 1 1 0 3 1 1 0 4 7 0 25 3 4 3 2 1 5 1 8 5 7 200 5 10 50 1 0 5 6 0 90 5 1 
Obs212 212 1 1 0 1 0 3 7 0 3 1 33 3.3 4 0 1 0 7 1 2 5 10 30 5 10 40 5 5 5 10 0 100 2 1 
Obs213 213 0 0 0 0 1 5 7 0 8 1 27 2.8 5 6 7 0 4 1 2 5 7 150 2 10 140 2 0 5 7 20 60 7 1 
Obs214 214 0 0 1 2 1 1 0 10 8 1 25 3.2 7 4 2 0 5 1 5 4 0 150 6 10 60 8 1 6 8 10 10 9 1 
Obs215 215 0 0 0 3 1 1 0 5 10 1 21 3.4 4 5 3 3 3 1 4 3 5 200 2 10 30 5 0 5 10 10 0 10 1 
Obs216 216 1 1 1 2 1 0 0 3 4 0 28 3.7 15 10 2 2 7 1 3 10 0 100 6 0 200 5 1 0 10 5 100 4 1 
Obs217 217 0 0 0 3 1 0 0 3 1 1 21 2.8 20 35 20 1 5 1 6 10 5 100 1 0 175 10 5 0 10 0 20 5 1 
Obs218 218 0 0 0 2 1 1 0 7 3 1 22 3 4 0 22 1 6 1 3 5 5 999 5 10 120 1 0 1 9 0 0 5 1 
Obs219 219 0 0 0 3 0 3 4 3 0 0 25 3.4 10 2 4 2 1 0 10 3 5 30 5 5 62 5 5 0 3 0 100 2 1 
Obs220 220 1 1 0 2 1 1 0 6 10 1 22 3.8 4 3 1 1 0 1 3 6 8 90 5 5 0 3 0 7 3 0 0 8 1 
Obs221 221 1 1 1 0 1 0 7 0 3 1 28 3.8 8 8 1 1 1 1 5 10 4 100 5 10 130 2 0 5 9 0 30 9 1 
Obs222 222 0 0 0 3 1 5 6 0 5 1 28 3.4 10 3 1 1 2 1 2 3 0 100 5 10 63 2 0 10 9 0 0 2 1 
Obs223 223 1 1 1 0 1 0 0 5 7 1 27 3.4 20 30 3 2 3 1 5 10 3 50 6 8 200 6 2 2 8 0 80 6 1 
Obs224 224 1 1 0 2 1 0 6 2 2 0 21 4 0 0 0 0 2 1 2 4 4 70 2 10 90 1 0 8 10 10 70 3 1 
Obs225 225 1 1 0 2 0 2 5 2 3 1 27 2.7 6 6 0 1 0 0 5 5 5 25 3 9 75 1 3 6 1 5 0 8 1 
Obs226 226 1 1 1 2 1 2 0 1 0 1 30 3.6 15 30 10 1 10 1 2 5 5 90 5 1 175 5 0 2 10 0 90 10 1 
Obs227 227 1 1 0 3 1 3 5 1 6 0 19 3.2 3 6 3 3 4 1 5 3 6 40 5 5 36 5 5 5 7 0 20 8 1 
Obs228 228 1 1 0 3 1 5 6 1 8 1 33 3.9 8 5 1 2 2 1 2 3 6 75 5 10 75 2 0 4 8 0 30 10 1 
Obs229 229 1 1 0 2 1 0 0 10 6 1 24 3.1 6 0 4 1 7 1 8 9 5 80 6 10 45 3 0 6 7 0 10 4 1 
Obs230 230 1 1 1 1 1 0 0 4 7 0 27 2.4 5 15 12 5 2 1 4 5 5 60 5 4 200 7 1 3 7 10 100 5 1 
Obs231 231 1 1 0 2 0 4 7 0 3 1 34 3.5 10 20 4 1 4 1 3 4 6 200 5 10 300 0 0 5 9 15 100 7 1 
Obs232 232 0 0 1 2 1 0 0 8 7 1 27 3.3 15 25 1 1 10 1 5 3 7 500 6 5 500 7 1 5 9 0 90 5 1 
Obs233 233 1 1 0 0 1 0 7 0 3 1 26 3.8 4 0 1 3 2 0 3 4 5 90 5 8 200 0 0 3 7 0 20 6 1 
Obs234 234 1 1 0 2 1 0 0 8 2 0 28 4 0 0 2 2 2 1 2 5 2 190 5 7 160 7 1 4 9 0 100 8 1 
Obs235 235 0 0 1 2 1 0 0 3 3 1 25 3.1 12 10 2 1 1 1 1 5 5 100 6 8 200 5 5 6 10 0 100 3 1 
Obs236 236 1 1 0 3 1 1 0 7 6 1 20 3.3 8 0 1 1 20 1 2 7 10 200 5 5 200 5 0 6 10 10 90 8 1 
Obs237 237 1 1 0 2 1 0 0 8 3 1 30 4 10 12 1 0 30 1 4 5 5 65 1 1 100 9 1 3 8 10 0 7 1 
Obs238 238 1 1 0 2 1 0 0 8 5 0 25 3.2 10 15 2 0 7 1 4 15 3 100 1 8 200 8 1 5 7 10 20 8 1 
Obs239 239 1 1 0 2 1 0 0 1 5 1 29 3.5 15 10 1 0 7 1 4 12 5 40 5 5 40 1 0 5 7 0 90 8 1 
Obs240 240 1 1 0 3 1 2 0 7 8 1 22 3.6 2 1 1 3 7 1 4 4 5 80 5 10 32 2 0 5 10 0 100 7 1 
Obs241 241 0 0 0 2 1 0 0 1 6 1 26 3.6 10 10 2 0 1 1 3 10 3 100 6 5 200 5 5 7 9 0 70 2 1 
Obs242 242 1 1 0 2 1 0 0 8 7 1 30 4 0 0 0 1 7 0 1 7 2 150 5 10 46 4 1 5 10 0 100 8 1 
Obs243 243 0 0 0 0 1 0 0 2 2 1 29 3.2 8 10 2 1 3 1 2 10 5 250 6 6 1200 4 5 4 8 15 100 6 1 
Obs244 244 1 1 1 1 1 0 7 0 2 0 26 3.3 10 20 2 2 5 1 5 3 5 60 5 6 60 4 0 5 10 0 0 0 1 
Obs245 245 0 0 0 0 1 0 5 2 10 1 34 3.4 0 0 0 0 2 0 1 1 7 150 5 8 100 5 5 3 8 0 20 6 1 
Obs246 246 1 1 0 0 1 5 0 7 6 1 28 3.8 4 15 1 1 2 1 6 4 7 100 5 10 60 2 0 4 9 5 100 2 1 
Obs247 247 0 0 0 0 1 0 7 0 6 1 30 2.6 0 0 0 0 4 0 1 5 10 78 6 7 130 6 2 7 9 0 50 7 1 
Obs248 248 0 0 0 1 1 5 1 5 5 1 29 4 8 15 1 1 2 1 2 5 10 400 1 4 200 8 1 4 9 0 80 4 1 
Obs249 249 1 1 0 2 1 0 0 3 8 1 29 3.7 3 0 0 1 5 1 4 3 2 95 5 7 130 3 0 3 8 0 100 6 1 
Obs250 250 1 1 0 2 1 3 0 5 3 0 26 3.3 7 5 3 1 1 1 5 5 5 75 2 10 90 1 0 9 0 0 100 9 1 
Obs251 251 0 0 0 0 1 3 7 1 9 0 32 3.8 0 0 0 1 0 0 4 4 6 350 5 10 500 3 0 7 8 0 80 8 1 
Obs252 252 1 1 1 2 1 0 0 3 0 0 28 3.7 7 15 6 4 7 1 2 30 8 110 5 4 300 4 2 1 10 0 100 7 1 
Obs253 253 1 1 0 2 1 3 6 2 2 0 27 3.8 2 1 1 0 1 1 3 3 5 100 5 10 60 2 0 2 10 0 90 10 1 
Obs254 254 1 1 0 2 1 2 0 2 6 1 31 3.8 6 4 1 1 10 1 2 5 5 150 5 10 180 4 2 7 10 0 100 2 1 
Obs255 255 1 1 0 3 1 2 5 7 3 0 26 3.1 6 12 1 2 3 1 3 3 7 70 5 10 35 1 0 5 9 20 20 8 1 
Obs256 256 1 1 0 1 1 2 5 4 8 0 22 4 0 0 2 1 4 1 3 2 0 70 2 10 20 0 0 7 9 35 0 10 1 
Obs257 257 1 1 0 2 1 0 0 6 3 0 31 3.8 5 3 1 0 2 1 2 5 4 45 5 5 150 4 0 5 7 0 90 5 1 
Obs258 258 1 1 0 2 1 4 2 7 2 0 23 2.5 3 4 1 2 4 1 1 3 0 190 5 10 30 0 0 8 7 0 10 4 1 
Obs259 259 0 0 1 3 1 0 0 5 8 1 33 3.4 8 30 6 3 4 1 3 3 7 560 6 5 800 5 2 3 9 15 100 8 1 
Obs260 260 0 0 0 2 1 2 7 0 0 1 31 3.4 0 0 30 3 4 0 5 5 5 30 2 10 20 0 0 5 10 15 0 7 1 
Obs261 261 0 0 0 2 1 1 0 9 6 1 23 3.1 4 5 16 0 0 0 7 4 7 1000 6 8 50 8 5 3 7 0 40 9 1 
Obs262 262 1 1 1 2 1 4 3 2 8 1 31 3 10 12 0 0 7 1 3 12 5 110 6 5 160 1 0 3 9 0 0 10 1 
Obs263 263 1 1 0 2 1 0 0 5 2 0 24 4 6 0 3 2 5 1 4 6 5 80 5 0 100 5 1 3 8 0 70 3 1 
Obs264 264 1 1 0 3 0 3 4 7 3 1 33 3.9 0 0 0 0 14 1 3 3 8 20000 5 5 20000 5 0 3 10 0 100 7 1 
Obs265 265 0 0 0 3 0 3 4 2 8 1 29 3.8 4 0 0 0 2 1 5 3 6 1000 5 10 5000 4 1 6 10 5 100 4 1 
Obs266 266 0 0 0 2 1 2 7 0 6 1 29 3.8 1 1 1 2 0 1 2 2 6 80 6 10 40 3 0 0 8 0 10 1 1 
Obs267 267 1 1 0 1 1 0 7 0 5 1 30 3.3 0 0 3 0 3 1 1 4 4 50 5 6 200 2 0 4 4 20 60 1 1 
Obs268 268 1 1 0 3 1 0 6 0 7 0 26 3.5 10 15 1 4 10 1 2 8 5 120 5 9 60 2 0 5 9 0 30 2 1 
Obs269 269 1 1 0 2 1 0 0 6 6 1 30 3.8 6 8 1 3 7 1 3 10 5 120 5 5 120 5 0 5 9 0 40 5 1 
Obs270 270 1 1 1 2 1 0 0 9 5 0 28 3.8 10 8 1 1 3 1 5 15 5 100 5 7 300 3 0 4 9 0 90 8 1 
Obs271 271 1 1 0 0 1 0 0 6 3 1 26 3.7 6 10 0 0 5 1 2 5 5 200 5 5 200 5 0 5 7 5 90 2 1 
Obs272 272 0 0 0 2 1 0 2 8 4 0 29 3.5 0 0 0 0 5 0 2 7 3 250 5 10 115 4 0 3 10 0 0 10 1 
Obs273 273 1 1 0 3 1 0 0 2 8 1 31 3.8 8 10 0 0 5 1 8 10 5 200 5 10 125 2 0 4 10 0 100 3 1 
Obs274 274 1 1 1 2 1 0 0 2 5 0 32 3.8 25 50 1 2 3 1 8 10 7 400 5 8 500 2 0 4 9 5 100 7 1 
Obs275 275 0 0 0 2 1 1 0 10 0 0 20 3.1 4 4 25 3 1 1 4 5 6 200 2 8 62 4 2 8 6 10 0 8 1 
Obs276 276 1 1 0 2 1 0 0 3 2 0 26 3.9 4 2 2 1 4 1 1 4 2 1000 5 7 170 4 0 5 8 0 100 8 1 
Obs277 277 0 0 0 2 1 3 4 1 5 1 26 3 0 0 0 0 1 0 1 0 5 99 1 10 62 5 5 1 2 5 30 6 1 
Obs278 278 1 1 0 2 1 2 7 0 6 0 27 3.4 6 4 5 0 50 1 4 10 10 90000 5 10 300 2 0 5 8 0 40 0 1 
Obs279 279 1 1 1 2 1 0 0 5 1 1 30 3.8 8 5 0 0 5 1 2 5 7 200 5 10 400 3 0 4 10 0 90 6 1 
Obs280 280 1 1 1 3 1 2 5 10 7 1 26 3.5 15 9 4 1 3 1 2 4 5 132 5 10 30 0 2 0 10 10 0 7 1 
Obs281 281 1 1 0 3 1 3 4 7 6 0 22 2.7 5 5 10 2 4 1 6 3 0 60 5 8 70 0 0 0 10 0 100 5 1 
Obs282 282 0 0 1 2 1 0 0 2 2 1 29 4 18 50 2 1 3 1 2 17 8 250 5 10 275 3 0 7 10 20 90 2 1 
Obs283 283 1 1 0 0 1 0 7 0 0 0 22 3.2 4 2 9 4 10 1 6 2 2 80 2 10 53 5 0 3 10 0 50 6 1 
Obs284 284 1 1 0 2 1 1 0 10 1 1 26 4 0 0 0 0 7 1 3 7 5 100 5 7 67 5 2 4 10 0 10 7 1 
Obs285 285 1 1 0 2 1 4 3 6 2 1 33 3.1 8 40 0 0 4 1 2 10 10 200 5 8 175 5 1 0 10 30 90 9 1 
Obs286 286 1 1 0 2 1 0 0 5 4 0 26 3.9 6 8 1 1 3 1 3 3 6 100 5 0 275 9 1 3 9 10 50 7 1 
Obs287 287 0 0 0 2 1 1 0 5 7 1 27 3.6 0 0 1 1 2 1 4 2 8 300 2 8 500 0 0 6 10 0 60 3 1 
Obs288 288 0 0 0 3 0 3 7 0 8 1 30 3.7 2 2 13 8 2 0 0 5 10 30 5 5 1500 8 1 2 8 0 100 10 1 
Obs289 289 0 0 0 1 0 0 0 10 5 0 24 3.2 0 0 1 1 3 1 2 3 5 350 1 0 60 10 1 3 9 35 100 2 1 
Obs290 290 1 1 0 3 1 2 5 5 3 0 22 3.2 2 0 2 2 2 1 4 3 0 80 5 10 40 2 0 5 10 0 0 0 1 
Obs291 291 1 1 0 2 1 0 1 5 4 1 23 3.4 8 4 2 0 4 1 6 10 3 60 6 0 600 5 1 3 7 0 100 3 1 
Obs292 292 1 1 1 2 1 0 1 3 4 1 31 3.7 8 6 0 0 2 1 3 6 6 80 5 5 100 3 0 1 8 0 100 4 1 
Obs293 293 0 0 1 2 1 0 7 0 7 1 33 3.8 4 7 6 1 4 0 1 5 2 120 5 8 250 5 2 7 6 0 100 7 1 
Obs294 294 1 1 0 2 1 0 0 0 5 1 32 3.8 0 0 0 0 7 1 8 4 5 55 5 8 100 2 0 5 9 0 40 9 1 
Obs295 295 1 1 0 0 1 0 0 8 8 1 27 3.9 1 0 1 1 4 1 2 4 5 100 5 5 95 6 1 5 9 20 10 8 1 
Obs296 296 1 1 0 3 1 0 0 2 4 0 28 3.7 7 4 1 0 6 1 2 5 2 50 5 10 65 1 0 7 5 0 40 5 1 
Obs297 297 0 0 0 2 1 0 0 10 5 0 30 4 0 0 0 1 1 1 0 7 4 100 1 0 55 8 1 1 10 0 50 10 1 
Obs298 298 1 1 0 1 0 3 7 0 8 1 29 3.8 0 1 1 1 1 0 2 3 8 100 5 2 80 5 5 6 7 10 100 2 1 
Obs299 299 1 1 0 3 1 1 0 8 7 0 23 2.8 0 1 4 2 10 1 4 5 10 98 2 4 5 7 0 0 8 25 90 8 1 
Obs300 300 1 1 0 3 1 1 0 7 4 0 22 1.5 4 4 1 1 5 1 4 3 7 15400 5 2 8 8 0 5 5 20 0 7 1 
Obs301 301 1 1 0 1 1 0 6 2 2 0 28 3.9 1 1 1 0 0 1 3 10 5 50 2 10 130 0 0 5 10 0 100 10 1 
Obs302 302 1 1 0 3 1 2 6 0 9 1 25 3.8 9 16 8 2 4 1 2 2 6 95 5 8 100 0 0 5 8 0 80 0 1 
Obs303 303 1 1 1 2 1 0 0 3 1 1 31 4 1 0 0 0 15 1 2 6 4 100 5 7 160 2 0 4 10 0 90 4 1 
Obs304 304 1 1 0 0 1 0 5 8 2 0 24 3.5 0 0 1 1 2 0 1 3 3 60 5 10 25 7 1 7 3 20 0 9 1 
Obs305 305 1 1 0 1 0 5 7 0 2 1 28 3.8 5 0 10 2 1 1 4 4 0 50 5 6 700 0 0 3 4 0 100 8 1 
Obs306 306 0 0 1 3 1 2 5 3 3 1 20 3.1 0 0 0 0 2 1 1 10 5 55 5 8 20 2 0 8 9 0 10 7 1 
Obs307 307 1 1 0 2 1 0 0 2 8 1 25 3.5 6 10 8 1 4 1 2 4 6 100 6 6 120 5 5 4 9 15 40 8 1 
Obs308 308 1 1 0 2 1 4 3 3 10 1 26 3.9 0 0 0 0 1 1 3 3 4 90 6 10 16 3 0 5 7 10 0 9 1 
Obs309 309 1 1 1 2 1 4 2 7 5 1 28 2.6 4 7 1 1 7 1 5 3 5 100 6 10 60 0 0 0 10 15 100 0 1 
Obs310 310 1 1 0 0 1 0 0 6 5 1 25 3.9 0 0 1 1 10 1 2 3 2 100 5 10 200 7 1 7 10 0 100 5 1 
Obs311 311 1 1 0 2 1 0 5 7 7 1 28 3.7 10 20 3 2 10 1 4 15 7 250 1 6 100 10 1 5 8 0 50 6 1 
